LPS|GNFR|E-PRTR/PRTR Facility ID|Height class|Longitude (deg)|Latitude (deg)|NOx (as NO2) (kt)|NMVOC (kt)|SOx (as SO2) (kt)|NH3 (kt)|PM2.5 (kt)|PM10 (kt)|CO (kt)|Pb (t)|Cd (t)|Hg (t)|PCDD/ PCDF (dioxins/ furans)(g I-Teq)|PAHs (t)|HCB (kg)|PCBs (kg)
MVA Bielefeld-Herford GmbH|J_Waste|06-05-700-0297171|2|8,60625660813456|52,0425686575732||||||||||||||
MVA Weisweiler GmbH & Co. KG|J_Waste|06-05-300-9001747|2|6,30958456497815|50,8379940631326|0,137|||||||||||||
MVR Müllverwertung Rugenberger Damm GmbH & Co. KG|J_Waste|06-02-B74515H000|2|9,9347254971451|53,5211662263952|0,14|||||||||||||
MVV Enamic IGS Gersthofen GmbH|J_Waste|06-09-772-0109-0001|2|10,8824296246583|48,4446168967155|0,107|||||||||||||
MVV Umwelt Asset GmbH|J_Waste|15282|2|11,9957640034844|51,3247410197755|0,355|||||||||||||
MVV Umwelt Asset GmbH - BMKW Mannheim|J_Waste|06-08-26030482|3|8,45264728779142|49,5264829090816|0,115|||||||||||||
MVV Umwelt Asset GmbH - MHKW Mannheim|J_Waste|06-08-9169156|2|8,45245552613289|49,5213819157734|0,183|||||||||||||
MVV Umwelt Asset GmbH Standort Königs Wusterhausen|J_Waste|12-50612000134|3|13,6371148657617|52,3042390227691|0,101|||||||||||||
Magdeburg Städtischer Abfallwirtschaftsbetrieb Hängelsberge|J_Waste|14375|1|11,5337657848318|52,0898795413557||||||||||||||
Magna Exteriors  Systems GmbH|E_Solvents|06-00677010438|1|8,87503683979462|50,084694759553||0,125||||||||||||
Mainova, HKW Niederrad|A_PublicPower|06-00464020412|5|8,6278280081721|50,0857034445538||||||||||||||
Mainova, HKW West|A_PublicPower|06-00464010412|5|8,65323174770217|50,0985534947673|0,466||0,263|||||||||||
Mark-E Aktiengesellschaft|A_PublicPower|06-05-900-0045033|5|7,70458330782109|51,2754170592059|0,105|||||||||||||
Mark-E Aktiengesellschaft|A_PublicPower|06-05-900-0080266|5|7,48883654780729|51,4112097924167|0,145|||||||||||||
